headword,pronunciation,approval_batch,use_type,root_word,meaning,usage_note,derivation,origin_nation,national_usage,variant_forms,variant_pronunciations,related_words,example_celan,example_translation,source_entry_ids
Reth,/rehth/,,Noun,,Confusion / Uncertainty,,,,,,,Belreth; Fahreth; Kelreth; Lianreth; Mekreth; Norreth; Ohmreth; Rethdava; Rethkal; Rethmor; Rethnem; Rethpral; Rethshara; Rethshen; Rethvok; Rethweknor; Rethzheldava; Rethzhelshara; Shenreth; Sivrethaen; Zhelreth,kal Kalor an Reth.,True strength is shown when facing uncertainty.,LX-V2-0045; LX-V4-0077; LX-V4-0103
Reth,/rehth/,,Conjunction,,Or,,,,,,,Belreth; Fahreth; Kelreth; Lianreth; Mekreth; Norreth; Ohmreth; Rethdava; Rethkal; Rethmor; Rethnem; Rethpral; Rethshara; Rethshen; Rethvok; Rethweknor; Rethzheldava; Rethzhelshara; Shenreth; Sivrethaen; Zhelreth,kal Kalor an Reth.,True strength is shown when facing uncertainty.,LX-V2-0045; LX-V4-0077; LX-V4-0103
Reth- / Rethvok-,/rehth- / rehthvohk-/,,Noun,,"Reth: uncertainty, confusion, doubt, a question, or. Rethvok: chaos, disorder, un-ordered state.",Root record containing alternative forms. The slash and trailing hyphens describe the roots; do not write the entire heading as one word.,,,,,,,,,DM-RM-S3-0010
Reth‘thal,/rehththahl/,,Particle,,"Perhaps, Possibly (stronger doubt than Rethlian).",Usage: Typically sentence-initial.,,,,,,,,,LX-V3-0033
Rethaen,/rehthah-ehn/,,Verb,,To Worry / Be Uncertain.,"Derivation: From Reth (Uncertainty) + -aen. Usage: Standard verb, follows VSO.",,,,,,,Ra rethaen Ya nor Varash?,Do you worry about the future?,LX-V3-0099
Rethal,/rehthahl/,,Noun,,River Predator,"Aquatic; Camouflaged river predator with reflective scales, barbels, and a powerful hidden bite.; Cultural role: Waterline predator and concealment symbol.",,,,,,,,,OHC-0016
Rethdava,/rehth-dah-vah/,"Information, Computation, Automation, and Electrical Systems 1",Noun,DAVA,Data corruption; information made internally incoherent damaged or unreliable through unintended alteration,,Reth confusion or disorder + Dava information,,,,,Dava; Belreth; Andavaen; Fahreth; Beldava; Kelreth; Davapral; Lianreth; Davashanaen; Mekreth; Davaxar; Norreth; Deldavaen; Ohmreth; Kavdava; Reth; Kavdavaen; Rethkal; Kavdeldava; Rethmor; Kaxardavaen; Rethnem; Kesdava; Rethpral; Kesdavaen; Rethshara; Rethzheldava; Rethshen; Shendava; Rethvok; Thaldavaen; Rethweknor; Xardava; Xardavaen; Rethzhelshara; Zheldava; Shenreth; Sivrethaen; Zhelreth,tal rekmekreth rethdava an beldava.,The crash causes data corruption in the database.,LX-ICAES1-0032
Rethkal,/rehth-kahl/,General Magic and Metaphysical Practice 1,Noun,KAL,Power instability; a condition in which force energy or magical influence behaves incoherently unpredictably or outside intended control,,Reth disorder or uncertainty + Kal power,,,Rethakal,/reh-thah-kahl/,Kal; Belreth; Rethkaleth; Kal-; Fahreth; Arthkal; Kelreth; Felkal; Lianreth; Jekkal; Mekreth; Jorkal; Norreth; Kalaru; Ohmreth; Kalbelrin; Reth; Kaldov; Rethdava; Kaleth; Rethmor; Kalkel; Rethnem; Kalmek; Rethpral; Kalmetha; Rethshara; Kalmorl; Rethshen; Kalorinath; Rethvok; Kalrath; Rethweknor; Kalrav; Rethzheldava; Kalrin; Rethzhelshara; Kalshen; Shenreth; Kalvok; Sivrethaen; Kalvokesh; Zhelreth; Kalwek; Mahrkal; Morkal; Serenkal; Shankalaen; Tirkal; Worshankal; Zhirkalor,worshankalaen arural; jor rethkal an rinvek.,The practitioner overchannels; power instability begins in the artifact.,LX-GMMP1-0049
Rethkaleth,/rehth-kah-lehth/,General Magic and Metaphysical Practice 1,Adjective,,Unstable in power or magical operation; behaving through uncontrolled or incoherent energetic change,,Rethkal power instability + -eth adjective,,,,,Rethkal,rinaen rethkal an rinvek; rinaen la rethkaleth.,Power instability is in the artifact; it is unstable.,LX-GMMP1-0050
Rethlian,/rehthlee-ahn/,,Modal,,Possibility (May/Might),"""maybe/perhaps""",,,,,,,var I rethlian.,I might go.,LX-V3-0019; LX-V4-0003
Rethlian,/rehthlee-ahn/,,Interjection,,Maybe,"“Rethlian, I nor var dren.” – “Maybe, I will go to the water.”",,,,,,,var I rethlian.,I might go.,LX-V3-0019; LX-V4-0003
Rethlian,/rehthlee-ahn/,,Particle,,Possibility (May/Might),,,,,,,,var I rethlian.,I might go.,LX-V3-0019; LX-V4-0003
Rethmor,/rehth-mor/,Post-Fracture Mechanics 1,Noun,MOR,Anomalously rearranged terrain whose shape or material relations no longer follow ordinary geography,,Reth + Mor,,,Rethamor,/reh-thah-mor/,Mor; Belreth; Belmor; Fahreth; Brenmor; Kelreth; Felmor; Lianreth; Hirmor; Mekreth; Kadromor; Norreth; Kinnmor; Ohmreth; Kormor; Reth; Krezmorath; Rethdava; Mavmor; Rethkal; Mbalanmor; Rethnem; Moraen; Rethpral; Mordralfel; Rethshara; Moreth; Rethshen; Morkal; Rethvok; Morkar; Rethweknor; Mormek; Rethzheldava; Morolan; Rethzhelshara; Morpralaen; Shenreth; Morshen; Sivrethaen; Morthas; Zhelreth; Morthera; Morvek; Morvenak; Morzhael; Morzhelshan; Ndavimor; Pralmor; Selmor; Tharmor; Tlamor; Vekmor; Velmor; Welmor,kes sharavok rethmor.,The caravan notices the anomalous terrain.,LX-PFM1-0027
Rethnem,/rehth-nehm/,"Understanding, Helping, and Emotional Interiority 1",Noun,NEM,A misunderstanding; a coherent but incorrect interpretation or grasp,,Reth uncertainty or disorder + Nem understanding,,,Rethanem,/reh-thah-nehm/,Nem; Belreth; Rethnemaen; Kelnemaen; Fahreth; Nemaen; Kelreth; Lianreth; Selnemaen; Mekreth; Norreth; Ohmreth; Reth; Rethdava; Rethkal; Rethmor; Rethpral; Rethshara; Rethshen; Rethvok; Rethweknor; Rethzheldava; Rethzhelshara; Shenreth; Sivrethaen; Zhelreth,rinaen rethnem an kel.,There is a misunderstanding in the words.,LX-UHEI1-0003
Rethnemaen,/rehth-nehm-ah-ehn/,"Understanding, Helping, and Emotional Interiority 1",Verb,NEM,To misunderstand or form or hold an incorrect interpretation,,Rethnem misunderstanding + -aen verb,,,Rethanemaen,/reh-thah-nehm-ah-ehn/,Nem; Rethnem; Kelnemaen; Nemaen; Selnemaen,rethnemaen Ya I.,You misunderstand me.,LX-UHEI1-0004
Rethpral,/reth-prahl/,Conversational Narrative Engine 1,Noun,PRAL,A mistake; an incorrect act judgment or construction,,Reth + Pral,,,Rethapral,/reth-ah-prahl/,Pral; Belreth; Balpral; Fahreth; Balpralaen; Kelreth; Belpralmek; Lianreth; Davapral; Mekreth; Drenpralaen; Norreth; Dropralaen; Ohmreth; Emilpral; Reth; Emilpralaen; Rethdava; Emilpraleth; Rethkal; Eshpral; Rethmor; Eshpralaen; Rethnem; Eshpralor; Rethshara; Kelpral; Rethshen; Krezpral; Rethvok; Krezpralaen; Rethweknor; Mahrpral; Rethzheldava; Mahrpralor; Rethzhelshara; Mekeshpral; Shenreth; Mekpralor; Sivrethaen; Morlpral; Zhelreth; Morpralaen; Norpral; Pralaen; Pralbal; Pralfel; Pralhav; Pralilan; Pralin; Pralmor; Pralor; Pralral; Pralvek; Pralvinor; Pralvokesh; Rinpral; Selpralaen; Shenpralor; Tenarpralaen; Vekpralor; Velpralaen; Velpralim; Velpralor; Velpraltrakor; Vethpralaen; Welpralor; Zhaelpralaen; Zhelpralaen,kes I rethpral.,I notice the mistake.,LX-CNE1-0029
Rethshara,/reth-shah-rah/,Conversational Narrative Engine 1,Particle,SHARA,Instead; by a substituted course or option,,Reth + Shara,,,,,Shara; Belreth; Shara-; Fahreth; Awekshara; Kelreth; Belshara; Lianreth; Brosshara; Mekreth; Dralshara; Norreth; Droshara; Ohmreth; Emilshara; Reth; Felshara; Rethdava; Kasharaen; Rethkal; Kinnshara; Rethmor; Lorshara; Rethnem; Mekshara; Rethpral; Morlshara; Rethshen; Nakshara; Rethvok; Rakushara; Rethweknor; Sharaen; Rethzheldava; Sharaka; Rethzhelshara; Sharalorin; Shenreth; Sharashen; Sivrethaen; Sharavok; Zhelreth; Sharbel; Tharshara; Tharsharaen; Vershara; Weksharaen; Zhelshara; Zhirshara,var I an mahr rethshara.,I go to the sea instead.,LX-CNE1-0023
Rethshen,/rehth-shehn/,"Science, Astronomy, and Cosmology 1",Noun,SHEN,Probability; a measured or formally estimated degree of likelihood under uncertainty,,Reth uncertainty + Shen measure,,,,,Shen; Belreth; Belshen; Fahreth; Dralshen; Kelreth; Droshen; Lianreth; Felshen; Mekreth; Ka-Shen; Norreth; Kalshen; Ohmreth; Keshen; Reth; Krezshen; Rethdava; Lianrethshen; Rethkal; Morshen; Rethmor; Pelsheneth; Rethnem; Rinshen; Rethpral; Sharashen; Rethshara; Shenakar; Rethvok; Shenbel; Rethweknor; Shendava; Rethzheldava; Shenkes; Rethzhelshara; Shenkesor; Shenreth; Shenlian; Sivrethaen; Shenmek; Zhelreth; Shenpralor; Shenral; Shental; Shentalzhael; Shenvarash; Shenzhir; Sivshen; Songashen; Thalaneshen; Vaarshen; Zhaelshen,shen shenral sivshenlian ser rethshen.,The researcher measures the control condition and the probability.,LX-SAC1-0045
Rethvok,/rehthvohk/,,Noun,VOK,Chaos (A bond of confusion),Reth (confusion) + Vok (bond),,,,,,Vok; Belreth; Vok-; Fahreth; Belvok; Kelreth; Drenvokesh; Lianreth; Kalvok; Mekreth; Kalvokesh; Norreth; Kavok; Ohmreth; Kelvok; Reth; Lorlivok; Rethdava; Pelvokaen; Rethkal; Pralvokesh; Rethmor; Servok; Rethnem; Sharavok; Rethpral; Sivvok; Rethshara; Tharvok; Rethshen; Velthaelvok; Rethweknor; Vokaen; Rethzheldava; Voktarin; Rethzhelshara; Zhirvok; Shenreth; Zhivokesh; Sivrethaen; Zhelreth,fahaen I rethvok.,I fear chaos.,LX-V4-0075
Rethweknor,/rehth-wehk-nor/,Post-Fracture Mechanics 1,Noun,,An involuntary time loop in which an interval recursively repeats without completing normally,,Reth + Weknor,,,Retheweknor,/reh-theh-wehk-nor/,Belreth; Weknor; Fahreth; Kelreth; Lianreth; Mekreth; Norreth; Ohmreth; Reth; Rethdava; Rethkal; Rethmor; Rethnem; Rethpral; Rethshara; Rethshen; Rethvok; Rethzheldava; Rethzhelshara; Shenreth; Sivrethaen; Zhelreth,rinaen rethweknor an shalor.,There is a time loop in the sanctuary.,LX-PFM1-0009
Rethzheldava,/rehth-zhehl-dah-vah/,"Information, Computation, Automation, and Electrical Systems 1",Noun,DAVA,Signal interference or noise; unwanted disturbance that obscures alters or competes with an information-bearing signal,,Reth disorder + Zheldava signal,,,Rethazheldava,/reh-thah-zhehl-dah-vah/,Dava; Belreth; Zheldava; Andavaen; Fahreth; Beldava; Kelreth; Davapral; Lianreth; Davashanaen; Mekreth; Davaxar; Norreth; Deldavaen; Ohmreth; Kavdava; Reth; Kavdavaen; Rethdava; Kavdeldava; Rethkal; Kaxardavaen; Rethmor; Kesdava; Rethnem; Kesdavaen; Rethpral; Rethshara; Shendava; Rethshen; Thaldavaen; Rethvok; Xardava; Rethweknor; Xardavaen; Rethzhelshara; Shenreth; Sivrethaen; Zhelreth,kes varokmek rethzheldava an belzhir.,The controller detects signal interference in the network.,LX-ICAES1-0057
Rethzhelshara,/rehth-zhehl-shah-rah/,"Information, Computation, Automation, and Electrical Systems 1",Noun,,Short circuit; an unintended low-control path that allows charge to bypass its intended circuit route,,Reth disorder + Zhelshara circuit,,,Rethazhelshara,/reh-thah-zhehl-shah-rah/,Belreth; Arthzhelshara; Fahreth; Zhelshara; Kelreth; Lianreth; Mekreth; Norreth; Ohmreth; Reth; Rethdava; Rethkal; Rethmor; Rethnem; Rethpral; Rethshara; Rethshen; Rethvok; Rethweknor; Rethzheldava; Shenreth; Sivrethaen; Zhelreth,rinaen zhelreth an rethzhelshara.,The electrical fault is a short circuit.,LX-ICAES1-0048
Revalen,/reh-vah-lehn/,,Interjection,,"""Farewell""",,,,,,,,,,LX-V2-0017
Ri,/ree/,Short Interrogative Particles 1,Particle,,Who; optional content-question particle requesting the identity of a person being or agentive participant,,,,,,,,ra var an Varthas ri?,Who goes to Varthas?,LX-SIP1-0006
Rim,/reem/,"Performance, Story Arts, and Celebration 1",Noun,,Celebration; a festive observance expressing shared joy recognition or remembrance,,,,,,,Rimaen; Rimor; Welrim,rinaen rim an teremil.,There is a celebration at home.,LX-PSAC1-0024; XR-rim
Rimaen,/ree-mah-ehn/,"Performance, Story Arts, and Celebration 1",Verb,RIM,To celebrate or observe festively,,Rim celebration + -aen verb,,,,,Rim; Rimor; Welrim,rimaen Ilin shalbal.,We celebrate the birth.,LX-PSAC1-0025
Rimor,/ree-mohr/,"Performance, Story Arts, and Celebration 1",Noun,RIM,Festival; a time-bounded or place-bounded public celebration,,Rim celebration + -or place or time-bounded domain,,,,,Rim; Rimaen; Welrim,rinaen rimor an welpralor.,The festival is in the plaza.,LX-PSAC1-0026
Rin,/reen/,,Noun,,Essence; inner spirit; true self,"Builds words for essence, identity, naming, and spiritually central inner qualities.",,,,,,Rin-; Arthrin; Balrin; Belrin; Brosrin; Kalrin; Kelrin; Kesrin; Phelrin; Rathrin; Rinaen; Rinarshor; Rinaru; Rinbel; Rinbelxar; Rinmek; Rinpel; Rinpral; Rinshen; Rinvarash; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,shalaen I rin an ser.,I see the essence in the friend.,XR-rin
Rin-,/reen-/,,Noun,,"Essence, core nature, spirit, intrinsic quality.",Important identity-context refinement preserved; no existing identity entries changed.,,,,,,Rin; Arthrin; Balrin; Belrin; Brosrin; Kalrin; Kelrin; Kesrin; Phelrin; Rathrin; Rinaen; Rinarshor; Rinaru; Rinbel; Rinbelxar; Rinmek; Rinpel; Rinpral; Rinshen; Rinvarash; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,,,DM-RM-S3-0012
Rinaen,/ree-nah-ehn/,,Verb,RIN; Aen,To be; to exist in essence; is-in-essence,Rin (essence) + Aen (breath/speaking) as a stative verb expressing essential being or existence.,,,,,,Rin; Aen; Rin-; Aen-; Arthrin; Aenaen; Balrin; Aennor; Belrin; Aenor; Brosrin; Aentash; Kalrin; Aenthael; Kelrin; Aenzhir; Kesrin; Thalaneshen; Phelrin; Rathrin; Rinarshor; Rinaru; Rinbel; Rinbelxar; Rinmek; Rinpel; Rinpral; Rinshen; Rinvarash; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,rinaen drenvor woreth.,The bowl is full.,DX-rinaen
Rinarshor,/reen-ahr-shor/,General Magic and Metaphysical Practice 1,Noun,RIN; ARSHOR,Aura; a perceivable or inferable field or presence surrounding a being object or place and associated with its present essence or condition,,Rin essence + Arshor enveloping presence,,,,,Rin; Arshor; Rin-; Velarshor; Arthrin; Balrin; Belrin; Brosrin; Kalrin; Kelrin; Kesrin; Phelrin; Rathrin; Rinaen; Rinaru; Rinbel; Rinbelxar; Rinmek; Rinpel; Rinpral; Rinshen; Rinvarash; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,thaenohmaen arural thaenin ser kes rinarshor thal la.,The practitioner contacts the spirit-being and perceives its aura.,LX-GMMP1-0026
Rinaru,/reen-ah-roo/,General Magic and Metaphysical Practice 1,Noun,ARU; RIN,Spiritual magic; magic acting through essence spirits attunement spiritual bonds or metaphysical identity,,Rin essence or inner spirit + Aru magic,,,,,Aru; Rin; Aruaen; Rin-; Arueth; Arthrin; Arukel; Balrin; Arukelaen; Belrin; Arural; Brosrin; Esharu; Kalrin; Kaaruaen; Kelrin; Kaarueth; Kesrin; Kalaru; Phelrin; Mekaru; Rathrin; Rinaen; Rinarshor; Rinbel; Rinbelxar; Rinmek; Rinpel; Rinpral; Rinshen; Rinvarash; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,thaenohmaen arural thaenin shan rinaru.,The magical practitioner contacts the spirit-being through spiritual magic.,LX-GMMP1-0006
Rinbel,/reen-behl/,General Magic and Metaphysical Practice 1,Noun,RIN; BEL,Enchantment; a sustained extraordinary property or directive bound into the operative identity of a person object or place,,Rin operative essence + Bel binding,,,,,Rin; Bel; Rinbelaen; Rin-; Bel-; Rinbeleth; Arthrin; Belar; Balrin; Beldava; Belrin; Belkes; Brosrin; Belkor; Kalrin; Belkoraen; Kelrin; Belkren; Kesrin; Belmek; Phelrin; Belmor; Rathrin; Belnoraen; Rinaen; Belor; Rinarshor; Belpralmek; Rinaru; Belraku; Rinbelxar; Belreth; Rinmek; Rinpel; Belrinpel; Rinpral; Belshan; Rinshen; Belshara; Rinvarash; Belshen; Rinvek; Belsura; Serathrin; Belthal; Shalrin; Belvekaen; Talrin; Belvelrathor; Vaarrin; Belverd; Velrin; Belvethral; Vethrin; Belvok; Welrin; Belwek; Xarrin; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,shankalaen arural kal shan rinbel.,The practitioner channels power through the enchantment.,LX-GMMP1-0012
Rinbelaen,/reen-beh-lah-ehn/,General Magic and Metaphysical Practice 1,Verb,,To enchant or imbue by binding a sustained extraordinary property or directive into operative identity,,Rinbel enchantment + -aen verb,,,,,Rinbel; Rinbeleth,rinaen rinbel an ngarpel; rinbelaen arural la.,Enchantment is in the sword; the practitioner enchants it.,LX-GMMP1-0013
Rinbeleth,/reen-beh-lehth/,General Magic and Metaphysical Practice 1,Adjective,,Enchanted; bearing a sustained extraordinary property or directive bound into operative identity,,Rinbel enchantment + -eth adjective,,,,,Rinbel; Rinbelaen,rinbelaen arural xaresh; rinaen la rinbeleth.,The practitioner enchants the cloak; it is enchanted.,LX-GMMP1-0014
Rinbelxar,/reen-behl-xahr/,"Clothing, Wearable Protection, and Ordinary Materials 1",Noun,RIN,"A uniform; standardized clothing that visibly marks an occupation, rank, institution, team, or assigned duty",,Rin identity + Belxar garment,,,,,Rin; Belxar; Rin-; Belxaraen; Arthrin; Velbelxar; Balrin; Belrin; Brosrin; Kalrin; Kelrin; Kesrin; Phelrin; Rathrin; Rinaen; Rinarshor; Rinaru; Rinbel; Rinmek; Rinpel; Rinpral; Rinshen; Rinvarash; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,belxaraen mekral rinbelxar.,The craftworker wears a uniform.,LX-CWM1-0018
Rinmek,/reen-mehk/,"Science, Astronomy, and Cosmology 1",Noun,RIN; MEK,"Model; a deliberately constructed representation preserving selected structure, relations, or behavior of something studied",,Rin essential character + Mek constructed form,,,,,Rin; Mek; Rinmekaen; Rin-; Anmek; Varrinmek; Arthrin; Belmek; Balrin; Belpralmek; Belrin; Drojormek; Brosrin; Felmek; Kalrin; Jekmek; Kelrin; Kalmek; Kesrin; Karmek; Phelrin; Kesmek; Rathrin; Kormek; Rinaen; Lormek; Rinarshor; Lormekral; Rinaru; Mekaru; Rinbel; Mekeshpral; Rinbelxar; Mekkes; Rinpel; Mekor; Rinpral; Mekpralor; Rinshen; Mekral; Rinvarash; Mekrask; Rinvek; Mekreth; Serathrin; Mekshara; Shalrin; Mormek; Talrin; Nethmek; Vaarrin; Normek; Velrin; Rakumek; Vethrin; Selmek; Welrin; Shanmek; Xarrin; Shenmek; Thalmek; Varokmek; Varshanmek; Velmek; Wekmek; Zhelvek,rinaen rinmek an belkes.,The model belongs within the theory.,LX-SAC1-0037
Rinmekaen,/reen-meh-kah-ehn/,"Science, Astronomy, and Cosmology 1",Verb,,"To model; to represent selected structure, relations, or behavior for explanation, testing, or prediction",,Rinmek model + -aen verb,,,,,Rinmek; Varrinmek,pralaen shenral rinmek; rinmekaen la an ravwek.,The researcher constructs a model and models the orbit.,LX-SAC1-0038
Rinpel,/reen-pehl/,Tools and Machines 1,Noun,RIN; Pel,A seal or stamp; an identifying or authorizing impression or the handheld implement that produces it,,Rin identity + Pel precise impressed mark,,,,,Rin; Pel; Belrinpel; Rin-; Delpel; Arthrin; Kelpel; Balrin; Lorpel; Belrin; Ngarpel; Brosrin; Ohmpel; Kalrin; Pelaen; Kelrin; Pelaivaen; Kesrin; Peldren; Phelrin; Peleth; Rathrin; Peljekkel; Rinaen; Pelkar; Rinarshor; Pelkorin; Rinaru; Pelkrezaen; Rinbel; Pelmorl; Rinbelxar; Pelnor; Rinmek; Pelsheneth; Rinpral; Pelvar; Rinshen; Pelvaraen; Rinvarash; Pelveltrakor; Rinvek; Pelvokaen; Serathrin; Shalpel; Shalrin; Verdpel; Talrin; Zhelpel; Vaarrin; Zhirpel; Velrin; Vethrin; Welrin; Xarrin,dor liorin rinpel an lianbelrin.,The elder puts the seal on the document.,LX-TM1-0014
Rinpral,/reen-prahl/,"Performance, Story Arts, and Celebration 1",Noun,RIN; PRAL,Art or an artwork; deliberate expressive making that gives perceptible form to inner essence,,Rin inner essence + Pral skilled detailed making,,,,,Rin; Pral; Rinpralral; Rin-; Balpral; Arthrin; Balpralaen; Balrin; Belpralmek; Belrin; Davapral; Brosrin; Drenpralaen; Kalrin; Dropralaen; Kelrin; Emilpral; Kesrin; Emilpralaen; Phelrin; Emilpraleth; Rathrin; Eshpral; Rinaen; Eshpralaen; Rinarshor; Eshpralor; Rinaru; Kelpral; Rinbel; Krezpral; Rinbelxar; Krezpralaen; Rinmek; Mahrpral; Rinpel; Mahrpralor; Rinshen; Mekeshpral; Rinvarash; Mekpralor; Rinvek; Morlpral; Serathrin; Morpralaen; Shalrin; Norpral; Talrin; Pralaen; Vaarrin; Pralbal; Velrin; Pralfel; Vethrin; Pralhav; Welrin; Pralilan; Xarrin; Pralin; Pralmor; Pralor; Pralral; Pralvek; Pralvinor; Pralvokesh; Rethpral; Selpralaen; Shenpralor; Tenarpralaen; Vekpralor; Velpralaen; Velpralim; Velpralor; Velpraltrakor; Vethpralaen; Welpralor; Zhaelpralaen; Zhelpralaen,pralaen rinpralral rinpral.,The artist makes art.,LX-PSAC1-0017
Rinpralral,/reen-prahl-rahl/,"Performance, Story Arts, and Celebration 1",Noun,RAL,Artist; a practiced maker of expressive art,,Rinpral art + Ral practiced role,,,Rinpralaral,/reen-prahl-ah-rahl/,Ral; Rinpral; Aennorral; Aenthaelral; Balral; Belvethral; Belzorral; Dovhavral; Droral; Eshlorral; Gavral; Karthaelral; Kavral; Kelvekral; Khumkelral; Krenral; Lorbelral; Lormekral; Lorvekral; Mekral; Mormekral; Naklorral; Neshbrenral; Nkural; Norpralral; Pralral; Shenral; Thaelral; Vethral; Xarvethral; Zhaelral; Zhirkelral,pralaen rinpralral rinpral.,The artist makes art.,LX-PSAC1-0018
Rinshen,/reen-shehn/,National Expansion 1,Noun,RIN; SHEN,Official identifying record,,Rin + Shen,Marakor,A civic registration or record used to establish identity.,,,Rin; Shen; Rin-; Belshen; Arthrin; Dralshen; Balrin; Droshen; Belrin; Felshen; Brosrin; Ka-Shen; Kalrin; Kalshen; Kelrin; Keshen; Kesrin; Krezshen; Phelrin; Lianrethshen; Rathrin; Morshen; Rinaen; Pelsheneth; Rinarshor; Rethshen; Rinaru; Sharashen; Rinbel; Shenakar; Rinbelxar; Shenbel; Rinmek; Shendava; Rinpel; Shenkes; Rinpral; Shenkesor; Rinvarash; Shenlian; Rinvek; Shenmek; Serathrin; Shenpralor; Shalrin; Shenral; Talrin; Shenreth; Vaarrin; Shental; Velrin; Shentalzhael; Vethrin; Shenvarash; Welrin; Shenzhir; Xarrin; Sivshen; Songashen; Thalaneshen; Vaarshen; Zhaelshen,rinaen rinshen an liankavor.,The identity record is in the archive.,LX-NE1-0035
Rinvarash,/rin-vah-rahsh/,,Noun,RIN,Prophetic Vision / Spiritual Insight / Glimpse of Essence. Refers to receiving divine guidance or seeing future possibilities through spiritual connection.,Rin (essence) + Varash (future/prophecy),,,,,,Rin; Shenvarash; Rin-; Varash; Arthrin; Balrin; Belrin; Brosrin; Kalrin; Kelrin; Kesrin; Phelrin; Rathrin; Rinaen; Rinarshor; Rinaru; Rinbel; Rinbelxar; Rinmek; Rinpel; Rinpral; Rinshen; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,Var Rinvarash thal liorin.,Prophetic vision comes from the elder.,LX-V2-0136
Rinvek,/reen-vehk/,General Magic and Metaphysical Practice 1,Noun,RIN; VEK,Magical artifact or implement; an object made carried or used as an independently meaningful magical instrument,,Rin operative essence + Vek carrier or vessel,,,,,Rin; Vek; Rin-; Anvekaen; Arthrin; Balvek; Balrin; Belvekaen; Belrin; Dorvekaen; Brosrin; Drenkavvek; Kalrin; Eshvek; Kelrin; Felvek; Kesrin; Jekzhirvek; Phelrin; Karvek; Rathrin; Kavvek; Rinaen; Kelvekral; Rinarshor; Kormekvek; Rinaru; Krenzhirvek; Rinbel; Krezdrenvek; Rinbelxar; Krezvek; Rinmek; Lorvekaen; Rinpel; Lorvekral; Rinpral; Mahrvek; Rinshen; Mahrxarvek; Rinvarash; Morvek; Serathrin; Ndavivek; Shalrin; Nethvek; Talrin; Ngarvek; Vaarrin; Pralvek; Velrin; Ravjorvek; Vethrin; Ravvekaen; Welrin; Shalilvek; Xarrin; Thalvekaen; Thamvek; Urenvek; Varvek; Vekaen; Vekin; Vekmor; Vekpralor; Vekvaraen; Vekxaror; Welvek; Xarvek; Zhelvek; Zhirvek,kes arural rathrin an rinvek.,The practitioner detects a curse on the magical artifact.,LX-GMMP1-0020
Riv,/reev/,Domestic and Sensory Life 1,Noun,,A shiver or small involuntary tremor of the body,,,,,,,Rivaen,rinaen riv an korin-ian.,There is a tremor in my hand.,LX-DSL1-0041
Rivaen,/ree-vah-ehn/,Domestic and Sensory Life 1,Verb,RIV,"To shiver or tremble in small involuntary motions from cold, fear, illness, or strain",,Riv + -aen,,,,,Riv,rivaen felka an veljor.,The child shivers in the cold snap.,LX-DSL1-0020
Ruma,/roo-mah/,"Reproductive Anatomy, Bodily Fluids, and Extremities 2",Noun,,Human hair; individual or collective hair growing from a person's scalp or body,,,,,,,,hiraen I ruma-ian.,I dye my hair.,LX-RABFE2-0020; XR-ruma
Ruvan,/roo-vahn/,"Food, Agriculture, and Preservation 2; Semantic Continuity and Polysemy 1",Noun,,Moral institutional or social corruption understood as living rot spreading through a community or organized system,,,,,,,Ruvanaen; Ruvaneth,rinaen ruvan an kavvek.,There is rot in the storage jar.,LX-FAP2-0027; LX-SCP1-0007; XR-ruvan
Ruvan,/roo-vahn/,"Food, Agriculture, and Preservation 2; Semantic Continuity and Polysemy 1",Noun,,"Rot or organic spoilage; uncontrolled biological decay that degrades food, tissue, or other once-living material",,,,,,,Ruvanaen; Ruvaneth,rinaen ruvan an kavvek.,There is rot in the storage jar.,LX-FAP2-0027; LX-SCP1-0007; XR-ruvan
Ruvanaen,/roo-vahn-ah-ehn/,"Food, Agriculture, and Preservation 2",Verb,RUVAN,"To rot or spoil through uncontrolled organic decay until quality, structure, or safety is lost",,Ruvan organic decay + -aen,,,,,Ruvan; Ruvaneth,ruvanaen torin an krezrek.,The meat spoils in the heatwave.,LX-FAP2-0028
Ruvaneth,/roo-vah-neth/,"Food, Agriculture, and Preservation 2",Adjective,RUVAN,Rotten or spoiled; substantially degraded by organic decay and no longer sound for its expected use,,Ruvan organic decay + -eth,,,,,Ruvan; Ruvanaen,rinaen torin ruvaneth.,The meat is spoiled.,LX-FAP2-0029
